"CITIZEN","TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"Foreign country","2011","Romania","Total","Total","Number",":",""
"Foreign country","2011","Slovenia","Total","Total","Number","82,746",""
"Foreign country","2011","Slovakia","Total","Total","Number","67,976",""
"Foreign country","2011","Finland","Total","Total","Number","166,627",""
"Foreign country","2011","Sweden","Total","Total","Number","622,275",""
"Foreign country","2011","United Kingdom","Total","Total","Number","4,546,862",""
"Foreign country","2011","Iceland","Total","Total","Number","21,143",""
"Foreign country","2011","Liechtenstein","Total","Total","Number","12,004",""
"Foreign country","2011","Norway","Total","Total","Number","368,475",""
"Foreign country","2011","Switzerland","Total","Total","Number","1,765,750","b"
"Foreign country","2012","Belgium","Total","Total","Number","1,224,904",""
"Foreign country","2012","Bulgaria","Total","Total","Number","39,432",""
"Foreign country","2012","Czech Republic","Total","Total","Number","422,966",""
"Foreign country","2012","Denmark","Total","Total","Number","358,714",""
"Foreign country","2012","Germany (until 1990 former territory of the FRG)","Total","Total","Number","6,342,394",""
"Foreign country","2012","Estonia","Total","Total","Number","206,558",""
"Foreign country","2012","Ireland","Total","Total","Number","548,915",""
"Foreign country","2012","Greece","Total","Total","Number","921,447",""
"Foreign country","2012","Spain","Total","Total","Number","5,236,030",""
"Foreign country","2012","France","Total","Total","Number","3,944,725",""
"Foreign country","2012","Croatia","Total","Total","Number",":","d"
"Foreign country","2012","Italy","Total","Total","Number","4,052,081",""
"Foreign country","2012","Cyprus","Total","Total","Number","172,427",""
"Foreign country","2012","Latvia","Total","Total","Number","324,288",""
"Foreign country","2012","Lithuania","Total","Total","Number","22,865",""
"Foreign country","2012","Luxembourg","Total","Total","Number","229,870",""
"Foreign country","2012","Hungary","Total","Total","Number","143,125",""
"Foreign country","2012","Malta","Total","Total","Number","20,302",""
"Foreign country","2012","Netherlands","Total","Total","Number","697,741",""
"Foreign country","2012","Austria","Total","Total","Number","945,176",""
"Foreign country","2012","Poland","Total","Total","Number","85,829","p"
"Foreign country","2012","Portugal","Total","Total","Number","436,822",""
"Foreign country","2012","Romania","Total","Total","Number","36,536","p"
"Foreign country","2012","Slovenia","Total","Total","Number","85,555",""
"Foreign country","2012","Slovakia","Total","Total","Number","70,727","b"
"Foreign country","2012","Finland","Total","Total","Number","181,697",""
"Foreign country","2012","Sweden","Total","Total","Number","646,095",""
"Foreign country","2012","United Kingdom","Total","Total","Number","4,884,378",""
"Foreign country","2012","Iceland","Total","Total","Number","20,957",""
"Foreign country","2012","Liechtenstein","Total","Total","Number","12,144",""
"Foreign country","2012","Norway","Total","Total","Number","409,193",""
"Foreign country","2012","Switzerland","Total","Total","Number","1,815,063",""
"Foreign country","2013","Belgium","Total","Total","Number","1,253,902",""
"Foreign country","2013","Bulgaria","Total","Total","Number","45,201",""
"Foreign country","2013","Czech Republic","Total","Total","Number","422,280",""
"Foreign country","2013","Denmark","Total","Total","Number","374,569",""
"Foreign country","2013","Germany (until 1990 former territory of the FRG)","Total","Total","Number","6,643,699",""
"Foreign country","2013","Estonia","Total","Total","Number","197,141",""
"Foreign country","2013","Ireland","Total","Total","Number","543,636",""
"Foreign country","2013","Greece","Total","Total","Number","886,450",""
"Foreign country","2013","Spain","Total","Total","Number","5,072,680",""
"Foreign country","2013","France","Total","Total","Number","4,092,106",""
"Foreign country","2013","Croatia","Total","Total","Number","27,854",""
"Foreign country","2013","Italy","Total","Total","Number","4,387,721",""
"Foreign country","2013","Cyprus","Total","Total","Number","170,076",""
"Foreign country","2013","Latvia","Total","Total","Number","315,414",""
"Foreign country","2013","Lithuania","Total","Total","Number","22,224",""
"Foreign country","2013","Luxembourg","Total","Total","Number","238,844",""
"Foreign country","2013","Hungary","Total","Total","Number","141,122",""
"Foreign country","2013","Malta","Total","Total","Number","22,466",""
"Foreign country","2013","Netherlands","Total","Total","Number","714,552",""
"Foreign country","2013","Austria","Total","Total","Number","997,038",""
"Foreign country","2013","Poland","Total","Total","Number","93,265",""
"Foreign country","2013","Portugal","Total","Total","Number","417,042",""
"Foreign country","2013","Romania","Total","Total","Number","70,666",""
"Foreign country","2013","Slovenia","Total","Total","Number","91,385",""
"Foreign country","2013","Slovakia","Total","Total","Number","72,925",""
"Foreign country","2013","Finland","Total","Total","Number","194,250",""
"Foreign country","2013","Sweden","Total","Total","Number","659,374",""
"Foreign country","2013","United Kingdom","Total","Total","Number","4,978,470",""
"Foreign country","2013","Iceland","Total","Total","Number","21,446",""
"Foreign country","2013","Liechtenstein","Total","Total","Number","12,337",""
"Foreign country","2013","Norway","Total","Total","Number","457,396",""
"Foreign country","2013","Switzerland","Total","Total","Number","1,869,070",""
"Foreign country","2014","Belgium","Total","Total","Number","1,264,427",""
"Foreign country","2014","Bulgaria","Total","Total","Number","54,422",""
"Foreign country","2014","Czech Republic","Total","Total","Number","434,581",""
"Foreign country","2014","Denmark","Total","Total","Number","397,221",""
"Foreign country","2014","Germany (until 1990 former territory of the FRG)","Total","Total","Number","7,015,236",""
"Foreign country","2014","Estonia","Total","Total","Number","194,917",""
"Foreign country","2014","Ireland","Total","Total","Number","545,512","p"
"Foreign country","2014","Greece","Total","Total","Number","854,998",""
"Foreign country","2014","Spain","Total","Total","Number","4,677,059",""
"Foreign country","2014","France","Total","Total","Number","4,160,704","p"
"Foreign country","2014","Croatia","Total","Total","Number","31,704",""
"Foreign country","2014","Italy","Total","Total","Number","4,922,085",""
"Foreign country","2014","Cyprus","Total","Total","Number","159,336",""
"Foreign country","2014","Latvia","Total","Total","Number","304,835",""
"Foreign country","2014","Lithuania","Total","Total","Number","21,577",""
"Foreign country","2014","Luxembourg","Total","Total","Number","248,914",""
"Foreign country","2014","Hungary","Total","Total","Number","140,301",""
"Foreign country","2014","Malta","Total","Total","Number","24,980",""
"Foreign country","2014","Netherlands","Total","Total","Number","735,354",""
"Foreign country","2014","Austria","Total","Total","Number","1,056,782",""
"Foreign country","2014","Poland","Total","Total","Number","101,204","p"
"Foreign country","2014","Portugal","Total","Total","Number","401,320",""
"Foreign country","2014","Romania","Total","Total","Number","73,434",""
"Foreign country","2014","Slovenia","Total","Total","Number","96,608",""
"Foreign country","2014","Slovakia","Total","Total","Number","59,151",""
"Foreign country","2014","Finland","Total","Total","Number","206,651",""
"Foreign country","2014","Sweden","Total","Total","Number","687,192",""
"Foreign country","2014","United Kingdom","Total","Total","Number","5,047,653",""
"Foreign country","2014","Iceland","Total","Total","Number","22,744",""
"Foreign country","2014","Liechtenstein","Total","Total","Number","12,519",""
"Foreign country","2014","Norway","Total","Total","Number","482,054",""
"Foreign country","2014","Switzerland","Total","Total","Number","1,936,412",""
"Foreign country","2015","Belgium","Total","Total","Number","1,300,493",""
"Foreign country","2015","Bulgaria","Total","Total","Number","65,622",""
"Foreign country","2015","Czech Republic","Total","Total","Number","457,323",""
"Foreign country","2015","Denmark","Total","Total","Number","422,492",""
"Foreign country","2015","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"Foreign country","2015","Estonia","Total","Total","Number","191,317",""
"Foreign country","2015","Ireland","Total","Total","Number","550,555","p"
"Foreign country","2015","Greece","Total","Total","Number","821,969",""
"Foreign country","2015","Spain","Total","Total","Number","4,454,354",""
"Foreign country","2015","France","Total","Total","Number","4,355,707","b"
"Foreign country","2015","Croatia","Total","Total","Number","36,679",""
"Foreign country","2015","Italy","Total","Total","Number","5,014,437",""
"Foreign country","2015","Cyprus","Total","Total","Number","144,599",""
"Foreign country","2015","Latvia","Total","Total","Number","298,433",""
"Foreign country","2015","Lithuania","Total","Total","Number","22,470",""
"Foreign country","2015","Luxembourg","Total","Total","Number","258,679",""
"Foreign country","2015","Hungary","Total","Total","Number","145,727",""
"Foreign country","2015","Malta","Total","Total","Number","27,476",""
"Foreign country","2015","Netherlands","Total","Total","Number","773,288",""
"Foreign country","2015","Austria","Total","Total","Number","1,131,164",""
"Foreign country","2015","Poland","Total","Total","Number","108,279","p"
"Foreign country","2015","Portugal","Total","Total","Number","395,195",""
"Foreign country","2015","Romania","Total","Total","Number","88,771",""
"Foreign country","2015","Slovenia","Total","Total","Number","101,532",""
"Foreign country","2015","Slovakia","Total","Total","Number","61,766",""
"Foreign country","2015","Finland","Total","Total","Number","218,803",""
"Foreign country","2015","Sweden","Total","Total","Number","731,215",""
"Foreign country","2015","United Kingdom","Total","Total","Number","5,422,094",""
"Foreign country","2015","Iceland","Total","Total","Number","24,294",""
"Foreign country","2015","Liechtenstein","Total","Total","Number","12,579",""
"Foreign country","2015","Norway","Total","Total","Number",":",""
"Foreign country","2015","Switzerland","Total","Total","Number","1,997,179",""
"Unknown","2006","Belgium","Total","Total","Number",":",""
"Unknown","2006","Bulgaria","Total","Total","Number",":",""
"Unknown","2006","Czech Republic","Total","Total","Number",":",""
"Unknown","2006","Denmark","Total","Total","Number",":",""
"Unknown","2006","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"Unknown","2006","Estonia","Total","Total","Number",":",""
"Unknown","2006","Ireland","Total","Total","Number",":",""
"Unknown","2006","Greece","Total","Total","Number",":",""
"Unknown","2006","Spain","Total","Total","Number","0",""
"Unknown","2006","France","Total","Total","Number",":",""
"Unknown","2006","Croatia","Total","Total","Number",":",""
"Unknown","2006","Italy","Total","Total","Number",":",""
"Unknown","2006","Cyprus","Total","Total","Number",":",""
"Unknown","2006","Latvia","Total","Total","Number",":",""
"Unknown","2006","Lithuania","Total","Total","Number","1,311",""
"Unknown","2006","Luxembourg","Total","Total","Number",":",""
"Unknown","2006","Hungary","Total","Total","Number",":",""
"Unknown","2006","Malta","Total","Total","Number",":",""
"Unknown","2006","Netherlands","Total","Total","Number",":",""
"Unknown","2006","Austria","Total","Total","Number","13,127",""
"Unknown","2006","Poland","Total","Total","Number",":",""
"Unknown","2006","Portugal","Total","Total","Number",":",""
"Unknown","2006","Romania","Total","Total","Number",":",""
"Unknown","2006","Slovenia","Total","Total","Number",":",""
"Unknown","2006","Slovakia","Total","Total","Number",":",""
"Unknown","2006","Finland","Total","Total","Number",":",""
"Unknown","2006","Sweden","Total","Total","Number",":",""
"Unknown","2006","United Kingdom","Total","Total","Number",":",""
"Unknown","2006","Iceland","Total","Total","Number",":",""
"Unknown","2006","Liechtenstein","Total","Total","Number",":",""
"Unknown","2006","Norway","Total","Total","Number",":",""
"Unknown","2006","Switzerland","Total","Total","Number",":",""
"Unknown","2007","Belgium","Total","Total","Number",":",""
"Unknown","2007","Bulgaria","Total","Total","Number",":",""
"Unknown","2007","Czech Republic","Total","Total","Number",":",""
"Unknown","2007","Denmark","Total","Total","Number",":",""
"Unknown","2007","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"Unknown","2007","Estonia","Total","Total","Number",":",""
"Unknown","2007","Ireland","Total","Total","Number","0","b"
"Unknown","2007","Greece","Total","Total","Number",":",""
"Unknown","2007","Spain","Total","Total","Number","0",""
"Unknown","2007","France","Total","Total","Number",":",""
"Unknown","2007","Croatia","Total","Total","Number",":",""
"Unknown","2007","Italy","Total","Total","Number",":",""
"Unknown","2007","Cyprus","Total","Total","Number",":",""
"Unknown","2007","Latvia","Total","Total","Number",":",""
"Unknown","2007","Lithuania","Total","Total","Number","983",""
"Unknown","2007","Luxembourg","Total","Total","Number",":",""
"Unknown","2007","Hungary","Total","Total","Number",":",""
"Unknown","2007","Malta","Total","Total","Number",":",""
"Unknown","2007","Netherlands","Total","Total","Number",":",""
"Unknown","2007","Austria","Total","Total","Number","11,415",""
"Unknown","2007","Poland","Total","Total","Number",":",""
"Unknown","2007","Portugal","Total","Total","Number",":",""
"Unknown","2007","Romania","Total","Total","Number",":",""
"Unknown","2007","Slovenia","Total","Total","Number",":",""
"Unknown","2007","Slovakia","Total","Total","Number",":",""
"Unknown","2007","Finland","Total","Total","Number",":",""
"Unknown","2007","Sweden","Total","Total","Number",":",""
"Unknown","2007","United Kingdom","Total","Total","Number",":",""
"Unknown","2007","Iceland","Total","Total","Number",":",""
"Unknown","2007","Liechtenstein","Total","Total","Number",":",""
"Unknown","2007","Norway","Total","Total","Number",":",""
"Unknown","2007","Switzerland","Total","Total","Number",":",""
"Unknown","2008","Belgium","Total","Total","Number",":",""
"Unknown","2008","Bulgaria","Total","Total","Number","74",""
"Unknown","2008","Czech Republic","Total","Total","Number",":",""
"Unknown","2008","Denmark","Total","Total","Number",":",""
"Unknown","2008","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":",""
"Unknown","2008","Estonia","Total","Total","Number",":",""
"Unknown","2008","Ireland","Total","Total","Number","0",""
"Unknown","2008","Greece","Total","Total","Number","0",""
"Unknown","2008","Spain","Total","Total","Number","0",""
"Unknown","2008","France","Total","Total","Number",":",""
"Unknown","2008","Croatia","Total","Total","Number",":",""
"Unknown","2008","Italy","Total","Total","Number",":",""
"Unknown","2008","Cyprus","Total","Total","Number",":",""
"Unknown","2008","Latvia","Total","Total","Number",":",""
"Unknown","2008","Lithuania","Total","Total","Number","709",""
"Unknown","2008","Luxembourg","Total","Total","Number",":",""
"Unknown","2008","Hungary","Total","Total","Number",":",""
"Unknown","2008","Malta","Total","Total","Number",":",""
"Unknown","2008","Netherlands","Total","Total","Number",":",""
"Unknown","2008","Austria","Total","Total","Number","3,196",""
"Unknown","2008","Poland","Total","Total","Number",":",""
"Unknown","2008","Portugal","Total","Total","Number",":",""
"Unknown","2008","Romania","Total","Total","Number",":",""
"Unknown","2008","Slovenia","Total","Total","Number",":",""
"Unknown","2008","Slovakia","Total","Total","Number",":",""
"Unknown","2008","Finland","Total","Total","Number",":",""
"Unknown","2008","Sweden","Total","Total","Number",":",""
"Unknown","2008","United Kingdom","Total","Total","Number",":",""
"Unknown","2008","Iceland","Total","Total","Number","1",""
"Unknown","2008","Liechtenstein","Total","Total","Number",":",""
"Unknown","2008","Norway","Total","Total","Number",":",""
"Unknown","2008","Switzerland","Total","Total","Number",":",""
"Unknown","2009","Belgium","Total","Total","Number","4,205","p"
"Unknown","2009","Bulgaria","Total","Total","Number","75",""
"Unknown","2009","Czech Republic","Total","Total","Number","0",""
"Unknown","2009","Denmark","Total","Total","Number","155",""
"Unknown","2009","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2009","Estonia","Total","Total","Number","1,060",""
"Unknown","2009","Ireland","Total","Total","Number","0",""
"Unknown","2009","Greece","Total","Total","Number","0",""
"Unknown","2009","Spain","Total","Total","Number","0",""
"Unknown","2009","France","Total","Total","Number",":",""
"Unknown","2009","Croatia","Total","Total","Number",":",""
"Unknown","2009","Italy","Total","Total","Number","0",""
"Unknown","2009","Cyprus","Total","Total","Number","3,526",""
"Unknown","2009","Latvia","Total","Total","Number",":",""
"Unknown","2009","Lithuania","Total","Total","Number","476",""
"Unknown","2009","Luxembourg","Total","Total","Number","661",""
"Unknown","2009","Hungary","Total","Total","Number","0",""
"Unknown","2009","Malta","Total","Total","Number","0",""
"Unknown","2009","Netherlands","Total","Total","Number","82,358",""
"Unknown","2009","Austria","Total","Total","Number","4,439",""
"Unknown","2009","Poland","Total","Total","Number",":",""
"Unknown","2009","Portugal","Total","Total","Number","0",""
"Unknown","2009","Romania","Total","Total","Number","311",""
"Unknown","2009","Slovenia","Total","Total","Number","169","b"
"Unknown","2009","Slovakia","Total","Total","Number","0",""
"Unknown","2009","Finland","Total","Total","Number","968",""
"Unknown","2009","Sweden","Total","Total","Number","14,460",""
"Unknown","2009","United Kingdom","Total","Total","Number","30,344",""
"Unknown","2009","Iceland","Total","Total","Number","0",""
"Unknown","2009","Liechtenstein","Total","Total","Number","0",""
"Unknown","2009","Norway","Total","Total","Number","69",""
"Unknown","2009","Switzerland","Total","Total","Number",":",""
"Unknown","2010","Belgium","Total","Total","Number","4,822","p"
"Unknown","2010","Bulgaria","Total","Total","Number","72",""
"Unknown","2010","Czech Republic","Total","Total","Number","0",""
"Unknown","2010","Denmark","Total","Total","Number","143",""
"Unknown","2010","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2010","Estonia","Total","Total","Number","760",""
"Unknown","2010","Ireland","Total","Total","Number","0",""
"Unknown","2010","Greece","Total","Total","Number","0",""
"Unknown","2010","Spain","Total","Total","Number","0",""
"Unknown","2010","France","Total","Total","Number",":",""
"Unknown","2010","Croatia","Total","Total","Number",":",""
"Unknown","2010","Italy","Total","Total","Number","0",""
"Unknown","2010","Cyprus","Total","Total","Number","2,875",""
"Unknown","2010","Latvia","Total","Total","Number",":",""
"Unknown","2010","Lithuania","Total","Total","Number","280",""
"Unknown","2010","Luxembourg","Total","Total","Number","646",""
"Unknown","2010","Hungary","Total","Total","Number","0",""
"Unknown","2010","Malta","Total","Total","Number","0",""
"Unknown","2010","Netherlands","Total","Total","Number","83,009",""
"Unknown","2010","Austria","Total","Total","Number","4,483",""
"Unknown","2010","Poland","Total","Total","Number","11,262",""
"Unknown","2010","Portugal","Total","Total","Number","0",""
"Unknown","2010","Romania","Total","Total","Number",":",""
"Unknown","2010","Slovenia","Total","Total","Number","140",""
"Unknown","2010","Slovakia","Total","Total","Number","0",""
"Unknown","2010","Finland","Total","Total","Number","1,082",""
"Unknown","2010","Sweden","Total","Total","Number","12,418",""
"Unknown","2010","United Kingdom","Total","Total","Number","22,141",""
"Unknown","2010","Iceland","Total","Total","Number","0",""
"Unknown","2010","Liechtenstein","Total","Total","Number","0",""
"Unknown","2010","Norway","Total","Total","Number","85",""
"Unknown","2010","Switzerland","Total","Total","Number","0",""
"Unknown","2011","Belgium","Total","Total","Number","6,020","b"
"Unknown","2011","Bulgaria","Total","Total","Number","72",""
"Unknown","2011","Czech Republic","Total","Total","Number",":",""
"Unknown","2011","Denmark","Total","Total","Number","162",""
"Unknown","2011","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0","b"
"Unknown","2011","Estonia","Total","Total","Number","487","b"
"Unknown","2011","Ireland","Total","Total","Number","0",""
"Unknown","2011","Greece","Total","Total","Number","0",""
"Unknown","2011","Spain","Total","Total","Number","0",""
"Unknown","2011","France","Total","Total","Number",":",""
"Unknown","2011","Croatia","Total","Total","Number",":",""
"Unknown","2011","Italy","Total","Total","Number","0",""
"Unknown","2011","Cyprus","Total","Total","Number","2,959",""
"Unknown","2011","Latvia","Total","Total","Number","0",""
"Unknown","2011","Lithuania","Total","Total","Number","108",""
"Unknown","2011","Luxembourg","Total","Total","Number","659",""
"Unknown","2011","Hungary","Total","Total","Number","0",""
"Unknown","2011","Malta","Total","Total","Number","0",""
"Unknown","2011","Netherlands","Total","Total","Number","87,133",""
"Unknown","2011","Austria","Total","Total","Number","4,613",""
"Unknown","2011","Poland","Total","Total","Number","13,101","p"
"Unknown","2011","Portugal","Total","Total","Number","0",""
"Unknown","2011","Romania","Total","Total","Number",":",""
"Unknown","2011","Slovenia","Total","Total","Number","0",""
"Unknown","2011","Slovakia","Total","Total","Number","0",""
"Unknown","2011","Finland","Total","Total","Number","1,327",""
"Unknown","2011","Sweden","Total","Total","Number","11,017",""
"Unknown","2011","United Kingdom","Total","Total","Number","27,094",""
"Unknown","2011","Iceland","Total","Total","Number","0",""
"Unknown","2011","Liechtenstein","Total","Total","Number","0",""
"Unknown","2011","Norway","Total","Total","Number","94",""
"Unknown","2011","Switzerland","Total","Total","Number","527","b"
"Unknown","2012","Belgium","Total","Total","Number","3,061",""
"Unknown","2012","Bulgaria","Total","Total","Number","75",""
"Unknown","2012","Czech Republic","Total","Total","Number","25",""
"Unknown","2012","Denmark","Total","Total","Number","144",""
"Unknown","2012","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2012","Estonia","Total","Total","Number","514",""
"Unknown","2012","Ireland","Total","Total","Number","0",""
"Unknown","2012","Greece","Total","Total","Number","0",""
"Unknown","2012","Spain","Total","Total","Number","0",""
"Unknown","2012","France","Total","Total","Number","0",""
"Unknown","2012","Croatia","Total","Total","Number",":","d"
"Unknown","2012","Italy","Total","Total","Number","0",""
"Unknown","2012","Cyprus","Total","Total","Number","5,590",""
"Unknown","2012","Latvia","Total","Total","Number","0",""
"Unknown","2012","Lithuania","Total","Total","Number","2,213",""
"Unknown","2012","Luxembourg","Total","Total","Number","0",""
"Unknown","2012","Hungary","Total","Total","Number","236",""
"Unknown","2012","Malta","Total","Total","Number","0",""
"Unknown","2012","Netherlands","Total","Total","Number","88,316",""
"Unknown","2012","Austria","Total","Total","Number","4,824",""
"Unknown","2012","Poland","Total","Total","Number","10,507","p"
"Unknown","2012","Portugal","Total","Total","Number","0",""
"Unknown","2012","Romania","Total","Total","Number","295","p"
"Unknown","2012","Slovenia","Total","Total","Number","0",""
"Unknown","2012","Slovakia","Total","Total","Number","353,368","b"
"Unknown","2012","Finland","Total","Total","Number","1,436",""
"Unknown","2012","Sweden","Total","Total","Number","9,005",""
"Unknown","2012","United Kingdom","Total","Total","Number","25,110",""
"Unknown","2012","Iceland","Total","Total","Number","0",""
"Unknown","2012","Liechtenstein","Total","Total","Number","0",""
"Unknown","2012","Norway","Total","Total","Number","92",""
"Unknown","2012","Switzerland","Total","Total","Number","931",""
"Unknown","2013","Belgium","Total","Total","Number","3,308",""
"Unknown","2013","Bulgaria","Total","Total","Number","96",""
"Unknown","2013","Czech Republic","Total","Total","Number","31",""
"Unknown","2013","Denmark","Total","Total","Number","136",""
"Unknown","2013","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2013","Estonia","Total","Total","Number","1,244",""
"Unknown","2013","Ireland","Total","Total","Number","0",""
"Unknown","2013","Greece","Total","Total","Number","0",""
"Unknown","2013","Spain","Total","Total","Number","0",""
"Unknown","2013","France","Total","Total","Number","0",""
"Unknown","2013","Croatia","Total","Total","Number","2,206",""
"Unknown","2013","Italy","Total","Total","Number","0",""
"Unknown","2013","Cyprus","Total","Total","Number","7,718",""
"Unknown","2013","Latvia","Total","Total","Number","0",""
"Unknown","2013","Lithuania","Total","Total","Number","1,825",""
"Unknown","2013","Luxembourg","Total","Total","Number","0",""
"Unknown","2013","Hungary","Total","Total","Number","235",""
"Unknown","2013","Malta","Total","Total","Number","0",""
"Unknown","2013","Netherlands","Total","Total","Number","81,691",""
"Unknown","2013","Austria","Total","Total","Number","5,169",""
"Unknown","2013","Poland","Total","Total","Number","7,943",""
"Unknown","2013","Portugal","Total","Total","Number","0",""
"Unknown","2013","Romania","Total","Total","Number","197",""
"Unknown","2013","Slovenia","Total","Total","Number","0",""
"Unknown","2013","Slovakia","Total","Total","Number","0",""
"Unknown","2013","Finland","Total","Total","Number","1,261",""
"Unknown","2013","Sweden","Total","Total","Number","7,858",""
"Unknown","2013","United Kingdom","Total","Total","Number","23,837",""
"Unknown","2013","Iceland","Total","Total","Number","0",""
"Unknown","2013","Liechtenstein","Total","Total","Number","0",""
"Unknown","2013","Norway","Total","Total","Number","97",""
"Unknown","2013","Switzerland","Total","Total","Number","899",""
"Unknown","2014","Belgium","Total","Total","Number","3,654",""
"Unknown","2014","Bulgaria","Total","Total","Number","825",""
"Unknown","2014","Czech Republic","Total","Total","Number","7",""
"Unknown","2014","Denmark","Total","Total","Number","79",""
"Unknown","2014","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2014","Estonia","Total","Total","Number","600",""
"Unknown","2014","Ireland","Total","Total","Number","0","p"
"Unknown","2014","Greece","Total","Total","Number","0",""
"Unknown","2014","Spain","Total","Total","Number","0",""
"Unknown","2014","France","Total","Total","Number","0","p"
"Unknown","2014","Croatia","Total","Total","Number","2,344",""
"Unknown","2014","Italy","Total","Total","Number","0",""
"Unknown","2014","Cyprus","Total","Total","Number","7,735",""
"Unknown","2014","Latvia","Total","Total","Number","0",""
"Unknown","2014","Lithuania","Total","Total","Number","1,782",""
"Unknown","2014","Luxembourg","Total","Total","Number","0",""
"Unknown","2014","Hungary","Total","Total","Number","235",""
"Unknown","2014","Malta","Total","Total","Number","0",""
"Unknown","2014","Netherlands","Total","Total","Number","80,677",""
"Unknown","2014","Austria","Total","Total","Number","5,670",""
"Unknown","2014","Poland","Total","Total","Number","8,138","p"
"Unknown","2014","Portugal","Total","Total","Number","0",""
"Unknown","2014","Romania","Total","Total","Number","16",""
"Unknown","2014","Slovenia","Total","Total","Number","0",""
"Unknown","2014","Slovakia","Total","Total","Number","0",""
"Unknown","2014","Finland","Total","Total","Number","860",""
"Unknown","2014","Sweden","Total","Total","Number","7,470",""
"Unknown","2014","United Kingdom","Total","Total","Number","27,072",""
"Unknown","2014","Iceland","Total","Total","Number","0",""
"Unknown","2014","Liechtenstein","Total","Total","Number","0",""
"Unknown","2014","Norway","Total","Total","Number","437",""
"Unknown","2014","Switzerland","Total","Total","Number","1,035",""
"Unknown","2015","Belgium","Total","Total","Number","4,128","b"
"Unknown","2015","Bulgaria","Total","Total","Number","2,538",""
"Unknown","2015","Czech Republic","Total","Total","Number","2",""
"Unknown","2015","Denmark","Total","Total","Number","67",""
"Unknown","2015","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0","b"
"Unknown","2015","Estonia","Total","Total","Number","1,312",""
"Unknown","2015","Ireland","Total","Total","Number","0","p"
"Unknown","2015","Greece","Total","Total","Number","0",""
"Unknown","2015","Spain","Total","Total","Number","0",""
"Unknown","2015","France","Total","Total","Number","0","b"
"Unknown","2015","Croatia","Total","Total","Number","2,359",""
"Unknown","2015","Italy","Total","Total","Number","0",""
"Unknown","2015","Cyprus","Total","Total","Number","7,670",""
"Unknown","2015","Latvia","Total","Total","Number","0",""
"Unknown","2015","Lithuania","Total","Total","Number","0",""
"Unknown","2015","Luxembourg","Total","Total","Number","0",""
"Unknown","2015","Hungary","Total","Total","Number","241",""
"Unknown","2015","Malta","Total","Total","Number","0",""
"Unknown","2015","Netherlands","Total","Total","Number","73,981",""
"Unknown","2015","Austria","Total","Total","Number","6,321",""
"Unknown","2015","Poland","Total","Total","Number","6,284","p"
"Unknown","2015","Portugal","Total","Total","Number","0",""
"Unknown","2015","Romania","Total","Total","Number","28",""
"Unknown","2015","Slovenia","Total","Total","Number","0",""
"Unknown","2015","Slovakia","Total","Total","Number","0",""
"Unknown","2015","Finland","Total","Total","Number","872",""
"Unknown","2015","Sweden","Total","Total","Number","8,220",""
"Unknown","2015","United Kingdom","Total","Total","Number","29,776",""
"Unknown","2015","Iceland","Total","Total","Number","0",""
"Unknown","2015","Liechtenstein","Total","Total","Number","0",""
"Unknown","2015","Norway","Total","Total","Number",":",""
"Unknown","2015","Switzerland","Total","Total","Number","1,280",""
